unit,symbol,source_path,size,fuzzy,gap,priority,db_statuses,run_target_rows,lease_count,worker_session_count,ever_leased_or_event
main/melee/ft/chara/ftCommon/ftCo_0A01,ftCo_800A6700,src/melee/ft/chara/ftCommon/ftCo_0A01.c,920,87.97826,12.02174,45.8101,queued:1,1,0,0,False
main/melee/gm/gm_18A5,fn_8018DC18,src/melee/gm/gm_18A5.c,848,88.49056,11.50944,45.1390,queued:2,2,0,0,False
main/melee/it/itspawn,it_8026CF04,src/melee/it/itspawn.c,276,94.92754,5.07246,44.0964,no_db_target,0,0,0,False
main/sysdolphin/baselib/particle,hsd_80394434,src/sysdolphin/baselib/particle.c,272,94.98529,5.01471,44.0639,no_db_target,0,0,0,False
main/melee/ft/chara/ftCommon/ftCo_Bury,ftCo_800C0B20,src/melee/ft/chara/ftCommon/ftCo_Bury.c,360,93.66666,6.33334,43.6843,queued:1,1,0,0,False
main/melee/gm/gm_18A5,fn_80196FFC,src/melee/gm/gm_18A5.c,1020,86.67843,13.32157,43.1880,queued:2,2,0,0,False
main/sysdolphin/baselib/texpdag,SimplifyThis,src/sysdolphin/baselib/texpdag.c,2152,79.75836,20.24164,43.0018,no_db_target,0,0,0,False
main/melee/gm/gm_1832,fn_80187AB4,src/melee/gm/gm_1832.c,488,91.84426,8.15574,42.5238,queued:2,2,0,0,False
main/melee/gm/gmclassic,gmClassic_OnLoad,src/melee/gm/gmclassic.c,1344,84.00595,15.99405,41.8225,no_db_target,0,0,0,False
main/melee/gm/gmregclear,fn_8017D9C0,src/melee/gm/gmregclear.c,408,92.72549,7.27451,41.4053,queued:1,1,0,0,False
main/melee/gm/gmcamera,gmCamera_801A292C,src/melee/gm/gmcamera.c,384,93.02084,6.97916,41.1365,no_db_target,0,0,0,False
main/sysdolphin/baselib/particle,fn_80397814,src/sysdolphin/baselib/particle.c,1424,83.21629,16.78371,40.6627,no_db_target,0,0,0,False
main/melee/ft/chara/ftCommon/ftCo_0A01,ftCo_800A6A98,src/melee/ft/chara/ftCommon/ftCo_0A01.c,660,89.53333,10.46667,40.4818,queued:1,1,0,0,False
main/melee/gm/gm_18A5,fn_80191FD4,src/melee/gm/gm_18A5.c,936,86.81624,13.18376,40.3006,queued:2,2,0,0,False
main/sysdolphin/baselib/hsd_3B5C,hsd_803B6BE4,src/sysdolphin/baselib/hsd_3B5C.c,1612,81.92804,18.07196,40.1652,no_db_target,0,0,0,False
main/melee/gr/grgreens,grGreens_802166C4,src/melee/gr/grgreens.c,1372,83.44607,16.55393,40.1619,queued:1,1,0,0,False
main/melee/ft/ftmetal,ft_800C85B8,src/melee/ft/ftmetal.c,660,89.44849,10.55151,40.0046,no_db_target,0,0,0,False
main/melee/gm/gm_18A5,fn_8018E618,src/melee/gm/gm_18A5.c,580,90.30345,9.69655,39.7357,queued:2,2,0,0,False
main/sysdolphin/baselib/hsd_3B2E,fn_803B302C,src/sysdolphin/baselib/hsd_3B2E.c,416,92.35577,7.64423,39.5410,no_db_target,0,0,0,False
main/melee/gr/grbigblue,grBigBlue_801EEF00,src/melee/gr/grbigblue.c,1316,83.61702,16.38298,39.2443,no_db_target,0,0,0,False
main/sysdolphin/baselib/psdisp,psDispParticles,src/sysdolphin/baselib/psdisp.c,14488,58.05825,41.94175,39.2387,no_db_target,0,0,0,False
main/melee/gm/gm_1B03,gm_801B1C24,src/melee/gm/gm_1B03.c,660,89.21212,10.78788,38.7169,no_db_target,0,0,0,False
main/melee/gr/grzebes,grZebes_801DB3CC,src/melee/gr/grzebes.c,1940,79.64536,20.35464,38.3325,no_db_target,0,0,0,False
main/melee/gr/grzebes,grZebes_801DC744,src/melee/gr/grzebes.c,664,89.00603,10.99397,37.8701,no_db_target,0,0,0,False
main/sysdolphin/baselib/particle,hsd_80393844,src/sysdolphin/baselib/particle.c,448,91.61607,8.38393,37.6010,no_db_target,0,0,0,False
